first_contact_date,proposal_date,follow_up_count,deal_size,closure_date,proposal_delay_days,closure_duration_days
2025-07-09,2025-07-14,1,23057000,2026-06-02,5,328
2024-06-10,2024-06-15,3,18689000,2025-04-18,5,312
2024-07-20,2024-07-21,4,15489000,2025-04-22,1,276
2024-09-26,2024-09-30,4,50487000,2025-09-30,4,369
2024-09-27,2024-09-29,3,13307000,2024-10-12,2,15
2025-03-31,2025-04-09,11,201866000,2026-04-09,9,374
2025-04-06,2025-04-12,7,293957000,2026-04-12,6,371
2025-12-27,2026-01-04,5,13608000,2027-01-04,8,373
2024-09-08,2024-09-10,4,59930000,2025-09-10,2,367
2025-12-02,2025-12-05,5,10202000,2026-11-01,3,334
2024-10-22,2024-11-01,6,86561000,2025-11-01,10,375
2025-12-25,2025-12-29,4,104273000,2026-12-29,4,369
2025-12-20,2025-12-23,8,48916000,2026-12-23,3,368
2024-12-03,2024-12-12,6,62271000,2025-12-12,9,374
2024-02-22,2024-02-24,7,28921000,2024-12-20,2,302
2024-08-04,2024-08-07,5,50768000,2025-08-07,3,368
2024-07-06,2024-07-11,5,86775000,2025-07-11,5,370
2025-01-14,2025-01-21,5,42207000,2026-01-21,7,372
2025-05-07,2025-05-11,1,130601000,2026-05-11,4,369
2024-02-10,2024-02-11,5,28265000,2025-02-10,1,366
2024-06-05,2024-06-13,5,37989000,2025-06-13,8,373
2024-01-15,2024-01-27,4,9400000,2024-03-07,12,52
2024-03-05,2024-03-08,8,314099000,2025-03-08,3,368
2025-06-04,2025-06-08,4,9970000,2025-09-01,4,89
2024-12-09,2024-12-11,5,119455000,2025-12-11,2,367
2024-05-08,2024-05-13,8,68970000,2025-05-13,5,370
2025-10-09,2025-10-11,4,48800000,2026-10-11,2,367
2025-04-16,2025-04-30,9,24052000,2026-02-20,14,310
2024-03-03,2024-03-07,8,33874000,2025-03-07,4,369
2024-05-18,2024-05-21,5,35839000,2025-05-21,3,368
2025-05-13,2025-05-17,5,32240000,2026-05-17,4,369
2025-08-15,2025-08-17,6,8952000,2025-08-30,2,15
2025-01-26,2025-02-01,9,78151000,2026-02-01,6,371
2025-11-05,2025-11-09,5,82720000,2026-11-09,4,369
2025-02-22,2025-03-03,6,37110000,2026-03-03,9,374
2024-10-15,2024-10-21,7,47314000,2025-10-21,6,371
2025-01-13,2025-01-21,8,77789000,2026-01-21,8,373
2025-05-04,2025-05-12,7,16232000,2025-12-26,8,236
2024-08-18,2024-08-30,3,13434000,2025-08-30,12,377
2024-02-10,2024-02-13,4,49387000,2025-02-12,3,368
2024-01-28,2024-01-31,2,37701000,2025-01-30,3,368
2024-05-14,2024-05-17,5,34870000,2025-05-17,3,368
2024-07-19,2024-07-24,5,79494000,2025-07-24,5,370
2024-02-02,2024-02-08,3,35730000,2025-02-07,6,371
2024-02-17,2024-02-19,3,69798000,2025-02-18,2,367
2025-05-17,2025-05-20,6,202762000,2026-05-20,3,368
2025-02-10,2025-02-16,7,262975000,2026-02-16,6,371
2025-07-27,2025-08-02,4,97936000,2026-08-02,6,371
2025-12-28,2025-12-31,7,7293000,2026-05-31,3,154
2024-04-08,2024-04-09,5,81234000,2025-04-09,1,366
2025-11-14,2025-11-20,2,170069000,2026-11-20,6,371
2025-12-26,2026-01-03,5,60690000,2027-01-03,8,373
2025-06-30,2025-07-08,3,28774000,2026-05-25,8,329
2025-09-04,2025-09-08,4,35312000,2026-09-08,4,369
2025-04-06,2025-04-08,4,131094000,2026-04-08,2,367
2025-10-04,2025-10-05,3,32031000,2026-10-05,1,366
2024-01-05,2024-01-07,3,22886000,2024-10-07,2,276
2024-08-05,2024-08-12,7,29072000,2025-05-16,7,284
2025-05-17,2025-05-21,2,51339000,2026-05-21,4,369
2025-02-01,2025-02-06,1,41028000,2026-02-06,5,370
2025-01-27,2025-01-28,4,13511000,2025-09-18,1,234
2024-07-25,2024-08-04,3,34793000,2025-06-23,10,333
2024-01-15,2024-01-27,5,223592000,2025-01-26,12,377
2025-07-07,2025-07-09,4,56921000,2026-07-09,2,367
2025-04-05,2025-04-19,5,79972000,2026-04-19,14,379
2025-11-21,2025-11-24,4,15735000,2026-06-01,3,192
2025-07-28,2025-07-30,7,83448000,2026-07-30,2,367
2024-08-28,2024-08-30,4,163450000,2025-08-30,2,367
2025-07-17,2025-07-20,10,63222000,2026-07-20,3,368
2024-04-05,2024-04-08,4,18677000,2024-11-08,3,217
2025-04-29,2025-05-02,7,81829000,2026-05-02,3,368
2025-02-10,2025-02-12,3,93835000,2026-02-12,2,367
2024-08-18,2024-08-27,4,27991000,2025-08-27,9,374
2025-10-16,2025-10-19,5,115272000,2026-10-19,3,368
2024-06-19,2024-06-20,7,70329000,2025-06-20,1,366
2025-06-24,2025-06-26,2,9954000,2026-02-14,2,235
2024-02-05,2024-02-09,3,30626000,2025-02-08,4,369
2025-06-08,2025-06-12,8,37457000,2026-06-12,4,369
2024-06-08,2024-06-17,2,46833000,2025-06-17,9,374
2025-11-29,2025-12-03,10,48846000,2026-12-03,4,369
2024-08-30,2024-09-05,3,92178000,2025-09-05,6,371
2024-03-26,2024-03-29,8,94796000,2025-03-29,3,368
2025-07-31,2025-08-06,4,178521000,2026-08-06,6,371
2025-11-12,2025-11-13,10,64278000,2026-11-13,1,366
2025-07-10,2025-07-16,4,159708000,2026-07-16,6,371
2025-07-27,2025-07-31,8,103247000,2026-07-31,4,369
2025-10-07,2025-10-16,4,130803000,2026-10-16,9,374
2024-01-28,2024-02-07,5,175760000,2025-02-06,10,375
2025-09-11,2025-09-17,6,37413000,2026-09-17,6,371
2025-07-09,2025-07-12,5,45955000,2026-07-12,3,368
2024-12-05,2024-12-08,5,9136000,2025-02-26,3,83
2024-11-26,2024-11-28,2,118660000,2025-11-28,2,367
2025-10-01,2025-10-05,6,111300000,2026-10-05,4,369
2025-05-20,2025-05-21,5,55034000,2026-05-21,1,366
2024-12-13,2024-12-17,5,92704000,2025-12-17,4,369
2025-04-17,2025-04-26,3,115274000,2026-04-26,9,374
2024-08-18,2024-08-21,5,49780000,2025-07-27,3,343
2024-07-08,2024-07-14,7,69152000,2025-07-14,6,371
2024-08-12,2024-08-19,4,48465000,2025-08-19,7,372
2025-01-19,2025-01-28,4,45287000,2026-01-28,9,374
2025-01-11,2025-01-14,7,28469000,2025-12-15,3,338
2024-10-09,2024-10-11,5,15951000,2025-10-11,2,367
2025-09-24,2025-09-25,5,17550000,2026-03-25,1,182
2025-09-19,2025-09-21,3,46293000,2026-09-21,2,367
2024-09-15,2024-09-18,7,19994000,2025-03-26,3,192
2024-12-24,2024-12-25,9,23026000,2025-12-25,1,366
2025-12-10,2025-12-12,8,25459000,2026-12-12,2,367
2025-03-31,2025-04-10,7,39135000,2026-04-10,10,375
2025-02-14,2025-02-23,5,121112000,2026-02-23,9,374
2025-10-10,2025-10-11,7,8880000,2026-05-31,1,233
2024-11-13,2024-12-04,3,50925000,2025-12-04,21,386
2025-11-07,2025-11-18,7,23398000,2026-07-08,11,243
2024-08-12,2024-08-13,13,47247000,2025-08-13,1,366
2024-08-21,2024-08-26,6,29812000,2025-05-14,5,266
2025-11-14,2025-11-17,5,42271000,2026-11-17,3,368
2025-10-25,2025-10-28,3,14254000,2026-08-17,3,296
2025-01-08,2025-01-09,8,68084000,2026-01-09,1,366
2025-11-02,2025-11-11,2,51524000,2026-11-11,9,374
2025-08-30,2025-09-08,7,55474000,2026-09-08,9,374
2025-04-16,2025-04-22,3,106263000,2026-04-22,6,371
2024-08-20,2024-09-05,6,15871000,2025-01-08,16,141
2025-11-22,2025-11-26,2,20482000,2026-04-29,4,158
2024-04-22,2024-04-24,6,185087000,2025-04-24,2,367
2025-05-11,2025-05-13,1,75803000,2026-05-13,2,367
2025-03-17,2025-03-19,7,10512000,2025-04-22,2,36
2025-07-17,2025-07-28,3,42433000,2026-07-28,11,376
2024-09-24,2024-09-30,6,115070000,2025-09-30,6,371
2025-05-24,2025-05-27,0,259511000,2026-05-27,3,368
2025-01-20,2025-01-22,5,170479000,2026-01-22,2,367
2025-01-21,2025-01-29,5,34047000,2026-01-29,8,373
2024-04-22,2024-04-23,5,44329000,2025-04-23,1,366
2025-09-04,2025-09-05,5,11463000,2025-12-05,1,92
2025-09-16,2025-09-25,5,53240000,2026-09-25,9,374
2024-03-21,2024-03-27,2,57710000,2025-03-27,6,371
2025-11-29,2025-12-01,6,101309000,2026-12-01,2,367
2024-04-22,2024-04-27,5,8424000,2024-09-20,5,151
2024-01-02,2024-01-04,7,23408000,2024-08-14,2,225
2025-10-03,2025-10-08,4,40932000,2026-05-28,5,237
2024-08-07,2024-08-11,9,98795000,2025-08-11,4,369
2025-07-19,2025-07-22,4,35563000,2026-04-21,3,276
2024-08-12,2024-08-15,2,323090000,2025-08-15,3,368
2025-01-19,2025-01-20,5,20652000,2026-01-20,1,366
2025-02-06,2025-02-09,5,33061000,2026-01-29,3,357
2025-09-29,2025-10-12,6,20481000,2026-07-06,13,280
2024-05-09,2024-05-14,5,41594000,2025-05-14,5,370
2024-02-22,2024-03-11,2,71653000,2025-03-11,18,383
2025-11-14,2025-11-15,8,56691000,2026-11-15,1,366
2025-12-30,2026-01-02,4,24572000,2026-08-01,3,214
2025-11-02,2025-11-09,6,130291000,2026-11-09,7,372
2025-12-10,2025-12-31,6,147994000,2026-12-31,21,386
2025-02-19,2025-02-20,5,28005000,2026-02-10,1,356
2024-09-03,2024-09-07,6,579352000,2025-09-07,4,369
2025-03-14,2025-03-21,4,20251000,2025-11-11,7,242
2024-07-21,2024-08-01,9,50585000,2025-08-01,11,376
2024-07-02,2024-07-05,4,50614000,2025-07-05,3,368
2024-05-02,2024-05-06,6,19941000,2025-01-13,4,256
2025-02-04,2025-02-06,7,57502000,2026-02-06,2,367
2024-10-20,2024-10-23,4,44507000,2025-10-23,3,368
2024-10-06,2024-10-10,1,68601000,2025-10-10,4,369
2025-09-01,2025-09-07,4,48984000,2026-09-07,6,371
2024-07-16,2024-07-24,4,92967000,2025-07-24,8,373
2025-05-25,2025-05-26,6,79407000,2026-05-26,1,366
2024-05-23,2024-05-25,4,22192000,2025-05-19,2,361
2025-08-31,2025-09-06,1,38537000,2026-09-06,6,371
2024-07-19,2024-07-20,3,25504000,2025-07-09,1,355
2024-05-03,2024-05-17,12,186045000,2025-05-17,14,379
2024-07-05,2024-07-16,1,105265000,2025-07-16,11,376
2024-11-21,2024-11-28,3,63838000,2025-11-28,7,372
2025-04-08,2025-04-16,5,75201000,2026-04-16,8,373
2024-12-14,2024-12-24,4,44727000,2025-12-24,10,375
2025-10-21,2025-11-01,6,55427000,2026-11-01,11,376
2025-02-06,2025-02-13,5,26951000,2025-11-29,7,296
2024-12-11,2024-12-12,3,28836000,2025-05-29,1,169
2025-05-25,2025-05-31,8,80305000,2026-05-31,6,371
2024-05-26,2024-06-06,5,20710000,2025-03-13,11,291
2024-05-27,2024-06-01,7,27927000,2025-06-01,5,370
2025-12-11,2025-12-20,3,40886000,2026-12-20,9,374
2025-05-03,2025-05-11,10,14650000,2025-10-26,8,176
2025-10-01,2025-10-10,9,109177000,2026-10-10,9,374
2025-07-04,2025-07-07,7,82996000,2026-07-07,3,368
2024-12-03,2024-12-12,4,69065000,2025-12-12,9,374
2025-10-02,2025-10-04,2,35899000,2026-10-04,2,367
2025-04-17,2025-04-19,5,125388000,2026-04-19,2,367
2024-05-30,2024-06-02,6,67992000,2025-06-02,3,368
2025-02-18,2025-02-25,7,108028000,2026-02-25,7,372
2024-10-24,2024-10-30,6,113180000,2025-10-30,6,371
2025-09-02,2025-09-07,8,33462000,2026-08-27,5,359
2024-09-19,2024-09-23,3,24139000,2025-03-30,4,192
2024-05-23,2024-05-27,4,21945000,2024-10-24,4,154
2024-12-11,2024-12-13,3,51442000,2025-12-13,2,367
2025-09-15,2025-09-16,7,5548000,2026-05-07,1,234
2025-07-25,2025-08-01,6,20806000,2026-06-05,7,315
2024-01-02,2024-01-03,7,28119000,2025-01-02,1,366
2024-10-30,2024-11-11,5,29846000,2025-07-12,12,255
2024-09-10,2024-09-15,4,79001000,2025-09-15,5,370
2025-10-13,2025-10-16,5,15568000,2026-06-15,3,245
2025-03-28,2025-03-29,5,12638000,2025-05-10,1,43
2024-02-06,2024-02-08,3,12837000,2024-02-13,2,7
2024-06-08,2024-06-12,4,74626000,2025-06-12,4,369
2024-01-09,2024-01-10,6,30778000,2024-10-09,1,274
2024-08-20,2024-08-23,10,29918000,2025-03-27,3,219
2024-04-08,2024-04-18,5,197793000,2025-04-18,10,375
2025-10-20,2025-10-24,2,69572000,2026-10-24,4,369
2024-07-26,2024-08-07,7,27351000,2025-08-07,12,377
2024-05-10,2024-05-12,3,16158000,2025-04-14,2,339
2025-02-07,2025-02-08,3,220842000,2026-02-08,1,366
2024-05-31,2024-06-07,6,59321000,2025-06-07,7,372
2024-02-23,2024-03-02,6,34605000,2025-03-02,8,373
2024-04-29,2024-05-09,6,57368000,2025-05-09,10,375
2025-11-03,2025-11-15,3,35120000,2026-11-15,12,377
2025-09-19,2025-09-23,7,73636000,2026-09-23,4,369
2025-08-09,2025-08-20,11,12629000,2025-12-23,11,136
2025-09-16,2025-10-10,9,35546000,2026-10-10,24,389
2025-02-23,2025-03-04,6,21050000,2025-11-19,9,269
2025-02-25,2025-02-27,3,46020000,2026-02-27,2,367
2024-04-13,2024-04-17,3,22816000,2024-12-13,4,244
2024-09-10,2024-09-16,4,30358000,2025-09-16,6,371
2024-08-14,2024-08-20,8,31563000,2025-06-02,6,292
2024-04-21,2024-04-25,4,60266000,2025-04-25,4,369
2025-05-24,2025-06-06,5,36110000,2026-06-06,13,378
2025-04-17,2025-04-18,10,21765000,2026-04-08,1,356
2024-04-08,2024-04-13,7,68197000,2025-04-13,5,370
2024-06-01,2024-06-07,5,260027000,2025-06-07,6,371
2024-12-03,2024-12-05,5,36829000,2025-12-05,2,367
2025-12-06,2025-12-16,3,138968000,2026-12-16,10,375
2024-06-11,2024-06-17,6,14229000,2025-03-28,6,290
2025-12-20,2025-12-25,4,26627000,2026-03-30,5,100
2025-11-11,2025-11-18,4,138146000,2026-11-18,7,372
2024-06-09,2024-06-14,1,58392000,2025-06-14,5,370
2025-08-02,2025-08-10,8,27607000,2026-04-28,8,269
2025-02-01,2025-02-02,0,95650000,2026-02-02,1,366
2024-10-03,2024-10-04,4,21406000,2025-05-09,1,218
2025-05-18,2025-05-27,7,51645000,2026-05-27,9,374
2025-01-26,2025-01-30,7,103688000,2026-01-30,4,369
2024-05-14,2024-05-16,7,65624000,2025-05-16,2,367
2024-07-13,2024-07-19,2,364969000,2025-07-19,6,371
2025-02-04,2025-02-08,7,31196000,2025-12-20,4,319
2025-10-01,2025-10-03,3,85429000,2026-10-03,2,367
2024-02-02,2024-02-21,6,99091000,2025-02-20,19,384
2025-11-18,2025-12-01,4,41133000,2026-12-01,13,378
2025-04-04,2025-04-07,2,23221000,2026-04-07,3,368
2025-04-14,2025-04-17,2,124090000,2026-04-17,3,368
2025-01-09,2025-01-11,3,32717000,2026-01-11,2,367
2024-01-22,2024-01-25,1,82038000,2025-01-24,3,368
2025-10-31,2025-11-08,8,69018000,2026-11-08,8,373
2024-02-07,2024-02-12,5,54207000,2025-02-11,5,370
2024-08-17,2024-08-20,5,144097000,2025-08-20,3,368
2024-12-30,2025-01-03,6,64151000,2026-01-03,4,369
2025-07-16,2025-07-19,1,81005000,2026-07-19,3,368
2025-03-13,2025-03-15,4,67733000,2026-03-15,2,367
2024-10-09,2024-10-10,1,52102000,2025-10-10,1,366
2024-01-27,2024-01-28,1,36141000,2025-01-27,1,366
2024-08-13,2024-08-19,5,48263000,2025-08-19,6,371
2024-10-03,2024-10-13,1,80349000,2025-10-13,10,375
2025-08-31,2025-09-05,4,71444000,2026-09-05,5,370
2024-10-10,2024-10-11,7,79041000,2025-10-11,1,366
2025-04-25,2025-05-01,4,1005499000,2026-05-01,6,371
2025-03-28,2025-03-30,4,32832000,2025-09-07,2,163
2025-10-20,2025-10-22,4,13796000,2026-05-03,2,195
2025-05-30,2025-05-31,1,35338000,2026-05-31,1,366
2025-06-30,2025-07-02,6,36871000,2026-03-18,2,261
2024-07-10,2024-07-12,3,69687000,2025-07-12,2,367
2024-02-18,2024-02-19,4,40060000,2025-02-18,1,366
2025-05-26,2025-05-28,5,88040000,2026-05-28,2,367
2024-01-17,2024-01-24,8,26531000,2024-10-08,7,265
2024-06-20,2024-07-01,3,77818000,2025-07-01,11,376
2024-08-07,2024-08-08,4,15321000,2024-10-23,1,77
2024-06-06,2024-06-15,2,48814000,2025-06-15,9,374
2025-04-21,2025-04-25,3,25619000,2026-03-17,4,330
2024-02-15,2024-02-16,2,36734000,2025-02-15,1,366
2025-01-07,2025-01-10,6,9499000,2025-08-09,3,214
2025-06-01,2025-06-08,5,97239000,2026-06-08,7,372
2024-04-08,2024-04-13,2,36123000,2025-04-13,5,370
2024-02-06,2024-02-07,0,44846000,2025-02-06,1,366
2024-10-06,2024-10-10,4,68424000,2025-10-10,4,369
2024-12-14,2024-12-22,4,27317000,2025-12-22,8,373
2025-05-11,2025-05-18,8,33048000,2026-05-18,7,372
2024-10-28,2024-10-31,4,11926000,2025-07-31,3,276
2024-06-29,2024-07-03,3,37833000,2025-07-03,4,369
2025-08-29,2025-09-01,6,168310000,2026-09-01,3,368
2024-04-08,2024-04-15,4,60987000,2025-04-15,7,372
2025-11-30,2025-12-07,7,14722000,2026-08-28,7,271
2024-04-25,2024-04-26,5,68797000,2025-04-26,1,366
2024-07-09,2024-07-17,5,136560000,2025-07-17,8,373
2024-09-09,2024-09-15,5,21834000,2025-05-05,6,238
2024-06-09,2024-06-11,4,41256000,2025-06-06,2,362
2024-09-12,2024-09-22,6,42297000,2025-09-19,10,372
2024-11-18,2024-11-21,2,54026000,2025-11-21,3,368
2024-05-07,2024-05-09,5,53698000,2025-05-09,2,367
2024-01-18,2024-01-20,4,81261000,2025-01-19,2,367
2025-07-19,2025-07-24,9,44297000,2026-07-24,5,370
2025-07-23,2025-07-26,2,131501000,2026-07-26,3,368
2024-11-18,2024-11-20,7,10528000,2025-01-09,2,52
2025-11-16,2025-11-18,4,19544000,2026-06-30,2,226
2025-09-17,2025-09-24,4,161030000,2026-09-24,7,372
2024-10-14,2024-10-21,7,33462000,2025-10-21,7,372
2025-10-24,2025-10-25,6,76502000,2026-10-25,1,366
2025-09-30,2025-10-03,5,44149000,2026-10-03,3,368
2024-06-03,2024-06-11,4,104410000,2025-06-11,8,373
2025-05-04,2025-05-08,2,68223000,2026-05-08,4,369
2025-01-20,2025-01-28,4,404406000,2026-01-28,8,373
2024-04-13,2024-04-23,4,48085000,2025-04-23,10,375
2025-01-27,2025-02-06,3,35096000,2026-02-06,10,375
2024-09-02,2024-09-11,5,136282000,2025-09-11,9,374
2024-06-24,2024-06-28,3,84447000,2025-06-28,4,369
2024-02-08,2024-02-11,3,25656000,2025-02-10,3,368
2025-04-21,2025-04-25,3,98636000,2026-04-25,4,369
2025-11-12,2025-11-15,5,57646000,2026-11-15,3,368
2025-06-21,2025-06-30,5,52557000,2026-06-30,9,374
2025-02-11,2025-02-18,4,69502000,2026-02-18,7,372
2025-06-08,2025-06-13,4,93803000,2026-06-13,5,370
2025-05-20,2025-05-21,6,57069000,2026-05-21,1,366
2024-02-05,2024-02-12,10,39698000,2025-02-11,7,372
2025-11-15,2025-11-25,8,260648000,2026-11-25,10,375
2024-01-20,2024-01-22,1,47471000,2025-01-19,2,365
2024-11-16,2024-11-25,7,142855000,2025-11-25,9,374
2025-05-26,2025-06-01,4,31262000,2026-06-01,6,371
2025-02-03,2025-02-23,6,24914000,2025-06-26,20,143
2025-10-15,2025-10-19,4,106519000,2026-10-19,4,369
2025-04-15,2025-04-18,7,40016000,2026-04-18,3,368
2024-05-22,2024-05-30,5,10385000,2025-05-30,8,373
2024-04-01,2024-04-03,2,41604000,2025-04-03,2,367
2024-12-19,2024-12-24,1,73541000,2025-12-24,5,370
2025-12-27,2026-01-02,10,28082000,2026-02-20,6,55
2024-02-20,2024-02-28,3,25455000,2025-02-27,8,373
2025-10-26,2025-11-05,6,57221000,2026-11-05,10,375
2025-11-28,2025-12-15,2,19675000,2026-09-09,17,285
2025-07-28,2025-07-29,4,62670000,2026-07-29,1,366
2024-07-08,2024-07-24,8,112235000,2025-07-24,16,381
2024-05-04,2024-05-05,6,138765000,2025-05-05,1,366
2024-05-29,2024-05-31,3,29119000,2025-05-21,2,357
2024-11-09,2024-11-16,3,203548000,2025-11-16,7,372
2025-07-23,2025-07-28,5,78421000,2026-07-28,5,370
2024-12-07,2024-12-08,5,28642000,2025-12-08,1,366
2024-10-31,2024-11-07,5,34984000,2025-08-11,7,284
2025-11-22,2025-11-26,6,28036000,2026-11-26,4,369
2025-11-12,2025-11-13,2,9486000,2026-02-02,1,82
2024-02-23,2024-03-05,9,152770000,2025-03-05,11,376
2025-03-19,2025-03-21,8,58304000,2026-03-21,2,367
2025-09-04,2025-09-05,6,82448000,2026-09-05,1,366
2024-09-20,2024-09-25,8,53082000,2025-09-25,5,370
2024-02-22,2024-02-24,2,14627000,2025-02-23,2,367
2025-07-25,2025-08-01,5,64644000,2026-08-01,7,372
2025-09-11,2025-09-15,8,105327000,2026-09-15,4,369
2024-01-05,2024-01-11,4,104759000,2025-01-10,6,371
2024-04-12,2024-04-14,2,117459000,2025-04-14,2,367
2024-07-14,2024-07-19,4,51037000,2025-07-19,5,370
2024-12-15,2024-12-17,2,7372000,2025-04-26,2,132
2024-02-16,2024-02-19,2,84388000,2025-02-18,3,368
2025-10-17,2025-10-21,4,51906000,2026-10-21,4,369
2024-09-25,2024-09-26,4,241759000,2025-09-26,1,366
2025-01-04,2025-01-14,4,223248000,2026-01-14,10,375
2025-09-27,2025-09-28,10,118220000,2026-09-28,1,366
2024-04-15,2024-04-16,6,16296000,2024-07-25,1,101
2025-10-31,2025-11-02,7,20193000,2026-05-07,2,188
2025-10-20,2025-10-27,1,74453000,2026-10-27,7,372
2025-10-18,2025-10-21,9,19297000,2026-03-21,3,154
2024-04-29,2024-05-13,6,99444000,2025-05-13,14,379
2025-08-26,2025-09-09,6,102793000,2026-09-09,14,379
2024-02-27,2024-03-05,4,170891000,2025-03-05,7,372
2024-12-11,2024-12-13,6,117542000,2025-12-13,2,367
2025-04-18,2025-04-22,3,35961000,2026-04-22,4,369
2024-04-26,2024-05-01,9,46556000,2025-05-01,5,370
2024-05-06,2024-05-15,4,24890000,2025-03-11,9,309
2025-01-27,2025-01-30,7,60707000,2026-01-30,3,368
2025-10-02,2025-10-04,3,8601000,2025-12-01,2,60
2024-02-27,2024-02-28,10,38779000,2025-02-27,1,366
2025-09-25,2025-10-05,3,85752000,2026-10-05,10,375
2025-05-27,2025-06-03,7,80277000,2026-06-03,7,372
2024-04-05,2024-04-08,7,98140000,2025-04-08,3,368
2025-09-29,2025-10-02,4,21005000,2026-06-01,3,245
2024-04-27,2024-04-28,5,17551000,2024-12-13,1,230
